,category,sub_category,brand,sale_price,market_price,type,rating
24608,Beverages,Energy & Soft Drinks,Mirinda,128.06,180.0,Cold Drinks,4.2
24609,Beauty & Hygiene,Skin Care,Kaya Clinic,1196.0,1840.0,Face Care,3.1
24610,Snacks & Branded Foods,Snacks & Namkeen,Dip,110.0,110.0,Namkeen & Savoury Snacks,3.4
24611,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,40.0,42.0,Organic Millet & Flours,3.9434095831792573
24612,Beauty & Hygiene,Men's Grooming,Bombay Shaving Company,265.5,295.0,Moustache & Beard Care,3.3
24613,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,130.0,130.0,Ayurveda,3.9434095831792573
24614,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Desi,140.0,140.0,Hakka Noodles,4.1
24615,Beauty & Hygiene,Oral Care,Colgate,297.0,297.0,Toothpaste,3.9434095831792573
24616,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,159.0,250.0,Containers Sets,4.2
24617,Beauty & Hygiene,Men's Grooming,USTRAA,214.5,325.0,Shaving Care,3.0
24618,Beauty & Hygiene,Fragrances & Deos,Nike,265.05,279.0,Men's Deodorants,3.9434095831792573
24619,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",REGENCY,180.0,195.0,Dry Fruits & Berries,3.9434095831792573
24620,Beverages,Fruit Juices & Drinks,Kapiva Ayurveda,360.0,400.0,Juices,3.9434095831792573
24621,Snacks & Branded Foods,Pickles & Chutney,Organic Nation,80.0,80.0,Lime & Mango Pickle,4.0
24622,Cleaning & Household,Pooja Needs,DP,269.0,269.0,Other Pooja Needs,5.0
24623,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,105.31,140.0,Blended Masalas,4.2
24624,Beauty & Hygiene,Health & Medicine,3BO,490.0,490.0,Face Masks & Safety Gears,2.0
24625,Gourmet & World Food,Cooking & Baking Needs,Yes You Can,600.0,600.0,"Baking, Cake Decorations",3.9434095831792573
24626,Gourmet & World Food,"Sauces, Spreads & Dips",Sakurafresh,440.0,440.0,Honey & Maple Syrup,3.9434095831792573
24627,Beauty & Hygiene,Men's Grooming,Godrej Cinthol,128.25,135.0,Talc,4.5
24628,Snacks & Branded Foods,Ready To Cook & Eat,Rusingo,140.0,140.0,"Papads, Ready To Fry",3.9434095831792573
24629,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Flat Tummies,100.0,100.0,"Healthy, Baked Snacks",3.9434095831792573
24630,Beverages,Fruit Juices & Drinks,Tropicana,77.62,110.0,Juices,3.9434095831792573
24631,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",MAGGI ,20.0,20.0,Instant Noodles,4.0
24632,Beauty & Hygiene,Bath & Hand Wash,BodyHerbals,299.0,299.0,Shower Gel & Body Wash,3.9434095831792573
24633,Gourmet & World Food,"Sauces, Spreads & Dips",Prasukh,144.0,160.0,"Jams, Marmalade, Spreads",4.6
24634,"Kitchen, Garden & Pets",Storage & Accessories,Ratan,229.0,229.0,Containers Sets,4.1
24635,"Foodgrains, Oil & Masala",Masalas & Spices,Snapin,149.0,149.0,Herbs & Seasoning,4.0
24636,Snacks & Branded Foods,Pickles & Chutney,Mother's Recipe,160.0,200.0,Lime & Mango Pickle,4.2
24637,Beauty & Hygiene,Skin Care,Olivia,191.25,225.0,Face Care,3.9434095831792573
24638,Beauty & Hygiene,Oral Care,Aquawhite,60.0,60.0,Toothbrush,3.9
24639,Beauty & Hygiene,Fragrances & Deos,Wild Stone,164.45,299.0,Men's Deodorants,3.0
24640,Beauty & Hygiene,Skin Care,BodyHerbals,450.0,450.0,Body Care,3.9434095831792573
24641,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Republic of Chicken,300.0,300.0,Chicken Sausages,3.9434095831792573
24642,Gourmet & World Food,Cooking & Baking Needs,Graminway,189.0,189.0,Flours & Pre-Mixes,3.9434095831792573
24643,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Arogya Dhan,89.1,99.0,Salts,4.0
24644,Snacks & Branded Foods,Biscuits & Cookies,Parle,28.0,35.0,Cookies,4.3
24645,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,149.0,269.0,Water & Fridge Bottles,3.9
24646,"Foodgrains, Oil & Masala",Organic Staples,Turn Organic ,130.5,145.0,"Organic Edible Oil, Ghee",4.2
24647,"Kitchen, Garden & Pets",Kitchen Accessories,Ritu,59.0,82.0,Knives & Peelers,4.1
24648,"Kitchen, Garden & Pets",Kitchen Accessories,Anjali,199.0,255.0,Choppers & Graters,3.9
